Страница,Сеянец,Оценка,Длина (px),Толщина (px),Ветвистость,Плотность,Уверенность,Жизнеспособность
1,1,0.803,770.0,3.76,13.487,0.127,0.93,корень жизнеспособен
1,3,0.933,1337.0,8.15,13.585,0.119,0.94,корень жизнеспособен
1,4,0.707,856.0,4.24,15.105,0.121,0.38,корень на гране смерти
1,5,0.945,846.0,10.38,9.208,0.165,0.96,корень жизнеспособен
1,6,0.785,1071.0,3.63,26.704,0.095,0.89,корень жизнеспособен
1,7,0.715,409.0,4.83,13.812,0.065,0.39,корень на гране смерти
1,9,0.812,1170.0,7.24,13.691,0.139,0.44,корень жизнеспособен
1,10,0.854,300.0,5.04,14.083,0.152,0.96,корень жизнеспособен
1,11,0.969,1154.0,16.83,5.131,0.276,0.97,корень жизнеспособен
1,12,0.832,638.0,5.05,23.294,0.132,0.87,корень жизнеспособен
1,13,0.844,842.0,5.26,19.654,0.182,0.85,корень жизнеспособен
1,14,0.822,705.0,4.52,17.111,0.101,0.93,корень жизнеспособен
1,16,0.803,293.0,5.46,30.333,0.876,0.4,корень жизнеспособен
2,1,0.883,439.0,5.47,14.381,0.253,0.94,корень жизнеспособен
2,2,0.939,1467.0,8.65,10.691,0.137,0.96,корень жизнеспособен
2,3,0.956,801.0,14.91,6.631,0.225,0.95,корень жизнеспособен
2,4,0.738,946.0,2.67,22.074,0.128,0.76,корень на гране смерти
2,5,0.933,962.0,7.7,10.245,0.184,0.93,корень жизнеспособен
2,7,0.839,333.0,6.54,18.0,0.192,0.62,корень жизнеспособен
2,8,0.929,888.0,12.16,16.618,0.278,0.77,корень жизнеспособен
2,9,0.71,648.0,4.27,16.967,0.062,0.45,корень на гране смерти
2,10,0.958,880.0,18.98,8.379,0.307,0.88,корень жизнеспособен
3,1,0.907,535.0,12.48,8.054,0.203,0.73,корень жизнеспособен
3,6,0.918,873.0,7.95,9.75,0.082,0.91,корень жизнеспособен
3,10,0.87,683.0,7.12,17.0,0.169,0.71,корень жизнеспособен
3,11,0.879,798.0,10.98,6.955,0.238,0.56,корень жизнеспособен
4,4,0.855,1607.0,11.26,19.925,0.23,0.45,корень жизнеспособен
4,5,0.898,950.0,7.56,11.56,0.108,0.85,корень жизнеспособен
4,6,0.831,381.0,6.78,18.214,0.306,0.43,корень жизнеспособен
4,7,0.924,1078.0,7.8,10.03,0.174,0.87,корень жизнеспособен
4,9,0.703,724.0,4.43,23.952,0.156,0.29,корень на гране смерти
4,11,0.666,910.0,3.31,125.5,0.168,0.27,корень на гране смерти
4,13,0.853,797.0,5.47,9.833,0.115,0.93,корень жизнеспособен
4,14,0.671,938.0,3.65,37.471,0.135,0.27,корень на гране смерти
4,15,0.829,631.0,7.39,10.294,0.202,0.44,корень жизнеспособен
4,17,0.757,1006.0,3.93,32.455,0.1,0.69,корень жизнеспособен
4,18,0.876,1155.0,6.48,18.902,0.128,0.88,корень жизнеспособен
4,19,0.79,276.0,6.0,27.0,0.187,0.46,корень жизнеспособен
4,21,0.724,772.0,3.87,32.059,0.17,0.47,корень на гране смерти
4,22,0.795,696.0,4.07,17.815,0.084,0.88,корень жизнеспособен
4,26,0.818,1191.0,5.21,15.863,0.095,0.81,корень жизнеспособен
5,3,0.957,1270.0,11.97,9.622,0.235,0.95,корень жизнеспособен
5,4,0.93,1286.0,8.33,10.829,0.157,0.89,корень жизнеспособен
5,8,0.817,307.0,6.1,14.667,0.205,0.56,корень жизнеспособен
5,12,0.862,1048.0,6.2,18.026,0.168,0.81,корень жизнеспособен
5,13,0.822,505.0,6.29,8.441,0.283,0.49,корень жизнеспособен
5,14,0.728,705.0,4.61,15.897,0.156,0.39,корень на гране смерти
5,16,0.911,966.0,8.29,14.122,0.176,0.78,корень жизнеспособен
5,18,0.782,790.0,3.41,33.647,0.082,0.91,корень жизнеспособен
5,19,0.824,771.0,4.72,18.259,0.08,0.93,корень жизнеспособен
5,20,0.904,499.0,15.95,8.806,0.245,0.68,корень жизнеспособен
5,22,0.762,566.0,4.0,31.462,0.145,0.66,корень жизнеспособен
5,28,0.803,618.0,7.58,9.381,0.196,0.28,корень жизнеспособен
6,1,0.728,727.0,5.47,8.388,0.09,0.33,корень на гране смерти
6,3,0.771,454.0,4.92,11.409,0.231,0.48,корень жизнеспособен
6,7,0.854,1107.0,5.42,12.103,0.11,0.95,корень жизнеспособен
6,10,0.861,1674.0,11.34,11.835,0.133,0.57,корень жизнеспособен
6,11,0.741,811.0,4.07,11.953,0.077,0.62,корень на гране смерти
6,12,0.78,1015.0,4.67,19.382,0.081,0.72,корень жизнеспособен
6,13,0.682,792.0,3.82,27.765,0.105,0.33,корень на гране смерти
6,15,0.691,714.0,4.16,23.524,0.149,0.28,корень на гране смерти
6,16,0.913,458.0,8.39,8.786,0.251,0.71,корень жизнеспособен
6,17,0.0,779.0,1.98,29.789,0.17,0.6,корень не распознан
6,18,0.727,542.0,4.09,20.688,0.284,0.34,корень на гране смерти
7,1,0.929,417.0,10.06,9.92,0.484,0.65,корень жизнеспособен
7,2,0.96,476.0,10.85,7.567,0.393,0.81,корень жизнеспособен
7,3,0.913,1011.0,11.14,11.068,0.22,0.75,корень жизнеспособен
7,7,0.792,866.0,4.79,29.5,0.072,0.77,корень жизнеспособен
7,8,0.753,1098.0,6.22,16.044,0.105,0.33,корень жизнеспособен
7,9,0.757,1170.0,3.96,26.172,0.167,0.62,корень жизнеспособен
7,11,0.867,1085.0,6.67,12.054,0.155,0.78,корень жизнеспособен
7,14,0.678,1309.0,4.27,17.038,0.083,0.27,корень на гране смерти
7,15,0.668,746.0,3.91,35.067,0.101,0.25,корень на гране смерти
8,2,0.841,506.0,6.69,17.333,0.257,0.54,корень жизнеспособен
8,4,0.808,402.0,5.73,11.696,0.134,0.65,корень жизнеспособен
8,7,0.794,697.0,8.93,10.163,0.092,0.28,корень жизнеспособен
8,8,0.853,834.0,6.34,10.469,0.11,0.8,корень жизнеспособен
8,10,0.921,850.0,9.67,12.744,0.137,0.87,корень жизнеспособен
8,14,0.85,1133.0,5.77,9.014,0.146,0.84,корень жизнеспособен
8,15,0.929,217.0,6.87,13.182,0.306,0.91,корень жизнеспособен
8,16,0.927,862.0,9.65,11.353,0.182,0.85,корень жизнеспособен
8,18,0.741,744.0,5.04,21.435,0.179,0.37,корень на гране смерти
8,22,0.767,1173.0,5.59,20.417,0.094,0.5,корень жизнеспособен
8,25,0.708,782.0,4.1,26.19,0.186,0.34,корень на гране смерти
8,28,0.746,807.0,3.51,52.167,0.07,0.73,корень на гране смерти
9,1,0.907,1424.0,11.25,12.321,0.178,0.76,корень жизнеспособен
9,3,0.861,729.0,6.05,10.045,0.114,0.89,корень жизнеспособен
9,4,0.853,1073.0,6.9,10.484,0.193,0.64,корень жизнеспособен
9,5,0.86,288.0,4.77,19.556,0.232,0.95,корень жизнеспособен
9,6,0.807,963.0,6.54,7.871,0.129,0.52,корень жизнеспособен
9,8,0.685,1200.0,4.47,13.683,0.079,0.28,корень на гране смерти
9,9,0.871,830.0,6.07,9.509,0.117,0.93,корень жизнеспособен
9,10,0.789,690.0,4.53,10.61,0.094,0.77,корень жизнеспособен
9,12,0.778,836.0,4.7,14.225,0.104,0.68,корень жизнеспособен
