page_index;object_index;class_name;confidence;x1;y1;x2;y2
0;0;seeding;0.794816;2644;140;2785;1144
0;0;root;0.925952;2681;746;2734;1119
0;0;flower;0.888516;2665;150;2760;308
0;0;stem;0.817351;2699;306;2722;757
0;1;seeding;0.787525;1697;87;1883;1151
0;1;stem;0.983656;1748;615;1881;1109
0;1;flower;0.935491;1697;87;1872;265
0;1;stem;0.256991;1786;270;1801;629
0;2;seeding;0.781636;1353;71;1596;1253
0;2;flower;0.959414;1353;72;1535;336
0;2;root;0.943557;1353;650;1571;1192
0;2;stem;0.726281;1477;292;1498;661
0;3;seeding;0.780398;2443;81;2612;1080
0;3;flower;0.927946;2444;82;2609;357
0;3;stem;0.806653;2501;355;2527;677
0;3;root;0.379147;2458;677;2584;1031
0;4;seeding;0.748965;2168;133;2399;1314
0;4;root;0.960426;2244;652;2358;1245
0;4;flower;0.935642;2171;134;2353;347
0;4;stem;0.664832;2271;349;2300;653
0;5;seeding;0.747200;101;191;263;1615
0;5;root;0.888165;147;742;235;1607
0;5;stem;0.866214;166;424;199;744
0;5;flower;0.864013;101;204;262;428
0;6;seeding;0.727884;271;157;491;1523
0;6;flower;0.931335;271;159;410;391
0;6;stem;0.782631;307;394;330;769
0;6;stem;0.570166;457;360;487;794
0;6;root;0.470202;300;777;453;1110
0;7;seeding;0.726879;2869;184;2999;1125
0;7;flower;0.936272;2884;190;2980;379
0;7;stem;0.807656;2913;380;2941;645
0;8;seeding;0.725833;529;84;772;1399
0;8;flower;0.954604;543;106;771;417
0;8;stem;0.708201;605;345;630;732
0;8;root;0.438321;529;731;685;1361
0;9;seeding;0.705855;1245;72;1389;1314
0;9;root;0.962392;1300;664;1354;919
0;9;flower;0.927578;1245;74;1355;263
0;9;stem;0.712964;1298;263;1322;668
0;10;seeding;0.677583;950;84;1240;1226
0;10;root;0.969175;995;728;1176;1216
0;10;flower;0.927206;1090;127;1222;376
0;10;stem;0.858036;1102;379;1144;735
0;10;flower;0.822796;950;84;1033;270
0;10;stem;0.428241;963;263;981;720
0;10;stem;0.404908;963;269;1057;765
0;11;seeding;0.661376;770;154;920;1045
0;11;flower;0.948629;770;154;891;340
0;11;root;0.870291;820;664;869;996
0;11;stem;0.856255;811;339;838;662
0;12;seeding;0.632545;1903;92;2029;1182
0;12;flower;0.857377;1925;122;2004;290
0;12;root;0.849303;1915;637;1965;1181
0;12;stem;0.834322;1932;288;1959;637
0;13;seeding;0.629084;2027;75;2178;1197
0;13;flower;0.939084;2027;75;2175;315
0;13;root;0.929430;2063;609;2132;1178
0;13;stem;0.755213;2066;317;2080;605
0;14;seeding;0.566643;892;32;1072;1057
0;14;flower;0.917028;894;37;1038;271
0;14;stem;0.891284;961;272;1054;766
0;14;stem;0.292116;963;271;980;683
0;15;seeding;0.508808;414;106;567;1397
0;15;flower;0.913901;414;109;547;367
0;15;stem;0.822143;456;367;487;748
0;15;root;0.397227;452;751;464;937
1;0;seeding;0.791909;2488;302;2686;1090
1;0;flower;0.967636;2495;312;2685;522
1;0;stem;0.957126;2528;526;2573;852
1;0;root;0.940704;2528;841;2551;1072
1;1;seeding;0.778709;1876;384;2133;1606
1;1;root;0.956716;1876;877;2133;1590
1;1;flower;0.940908;1938;385;2088;569
1;1;stem;0.856522;1973;570;2003;879
1;2;seeding;0.748716;422;131;706;1280
1;2;root;0.954418;541;773;681;1237
1;2;flower;0.950934;447;144;634;350
1;2;stem;0.745513;572;353;589;790
1;3;seeding;0.746529;661;182;833;1405
1;3;flower;0.925687;662;193;789;402
1;3;stem;0.857078;751;401;778;702
1;3;root;0.762555;748;701;818;1405
1;4;seeding;0.727312;1103;181;1265;1436
1;4;root;0.927647;1159;874;1263;1417
1;4;flower;0.906226;1104;186;1210;362
1;4;stem;0.806206;1179;360;1204;875
1;5;seeding;0.718820;2189;342;2446;1058
1;5;flower;0.955424;2194;344;2445;545
1;5;stem;0.862549;2218;586;2301;1052
1;6;seeding;0.710644;1277;224;1486;1537
1;6;flower;0.959062;1277;224;1484;449
1;6;stem;0.729945;1388;444;1412;853
1;6;root;0.622282;1338;856;1396;1169
1;7;seeding;0.705537;886;199;1089;1520
1;7;flower;0.947254;910;219;1065;441
1;7;root;0.772304;889;829;1080;1485
1;7;root;0.769164;902;823;1001;1483
1;7;stem;0.699541;950;439;976;835
1;7;stem;0.580087;947;436;969;840
1;8;seeding;0.675068;1480;303;1716;1520
1;8;flower;0.947189;1480;319;1618;534
1;8;stem;0.861360;1554;531;1597;851
1;8;root;0.289752;1548;846;1716;1225
1;9;seeding;0.669936;1706;261;1931;1494
1;9;flower;0.912703;1787;261;1918;476
1;9;root;0.882700;1706;827;1834;1432
1;9;stem;0.879703;1776;478;1815;848
1;10;seeding;0.647985;161;647;325;1252
1;11;seeding;0.496614;326;986;476;1223
2;0;seeding;0.930811;869;260;1018;933
2;0;flower;0.935714;870;262;999;412
2;0;stem;0.796109;941;412;966;655
2;0;root;0.729572;937;640;988;896
2;1;seeding;0.930162;2172;291;2293;995
2;1;flower;0.963885;2181;297;2291;424
2;1;stem;0.661141;2193;424;2228;629
2;1;stem;0.308943;2186;630;2203;981
2;2;seeding;0.918949;713;144;870;957
2;2;flower;0.932341;741;147;869;389
2;2;stem;0.698737;760;388;789;646
2;2;stem;0.253344;753;592;780;945
2;3;seeding;0.908880;269;229;398;974
2;3;flower;0.935277;290;231;397;415
2;3;stem;0.581974;301;640;344;958
2;3;stem;0.487607;320;420;340;710
2;4;seeding;0.885041;433;327;561;979
2;4;flower;0.917452;443;340;559;482
2;4;stem;0.672876;475;482;501;729
2;5;seeding;0.866827;106;275;287;1089
2;5;root;0.913917;136;694;286;1052
2;5;flower;0.900375;108;299;223;457
2;5;stem;0.720511;164;459;190;698
2;6;seeding;0.865589;1147;418;1299;1154
2;6;stem;0.938948;1235;741;1289;1131
2;6;flower;0.745639;1159;435;1298;592
2;7;seeding;0.846527;1296;331;1430;1059
2;7;flower;0.935979;1308;331;1428;476
2;7;stem;0.880110;1358;618;1398;1013
2;7;stem;0.465082;1356;476;1376;771
2;8;seeding;0.844963;1418;323;1498;823
2;8;flower;0.954824;1418;335;1498;458
2;8;stem;0.574322;1459;459;1471;640
2;8;stem;0.361478;1440;474;1471;815
2;9;seeding;0.826830;565;315;685;975
2;9;stem;0.711996;586;480;611;709
2;9;root;0.709468;595;696;636;969
2;10;seeding;0.782441;1039;245;1193;1360
2;10;flower;0.876873;1039;261;1134;418
2;10;root;0.559739;1083;855;1168;1335
2;10;root;0.491971;1086;656;1169;1338
2;10;stem;0.355810;1095;418;1130;820
2;10;stem;0.255392;1096;418;1114;640
2;11;seeding;0.770249;1873;185;2014;1104
2;11;flower;0.953682;1873;188;1979;350
2;11;stem;0.472741;1951;349;1972;689
2;11;stem;0.310272;1950;349;1972;595
2;12;seeding;0.766276;2290;347;2430;932
2;13;seeding;0.735081;1702;180;1839;1131
2;13;flower;0.919641;1718;180;1820;340
2;13;stem;0.729438;1741;339;1763;594
2;13;stem;0.341459;1734;596;1817;1105
2;14;seeding;0.688363;2479;457;2570;944
2;14;stem;0.628141;2524;741;2535;942
2;15;seeding;0.644860;2038;395;2167;1165
2;15;flower;0.957651;2062;395;2149;515
2;15;stem;0.575235;2082;518;2097;660
2;16;seeding;0.478385;1574;208;1674;1057
2;16;stem;0.601830;1620;374;1635;638
2;16;flower;0.491246;1591;216;1647;374
3;0;seeding;0.956145;2004;168;2128;934
3;0;flower;0.969845;2018;170;2127;366
3;0;stem;0.673230;2069;364;2088;634
3;1;seeding;0.907679;2126;199;2279;910
3;1;flower;0.966131;2131;215;2261;385
3;1;stem;0.697931;2190;386;2217;643
3;2;seeding;0.847706;2398;267;2514;1065
3;2;flower;0.860650;2405;289;2477;402
3;2;stem;0.591670;2462;398;2484;630
3;2;stem;0.272518;2464;639;2514;1034
3;3;seeding;0.825466;174;1413;285;2115
3;3;root;0.446215;193;1414;283;1825
3;3;root;0.308802;211;1831;231;2023
3;3;stem;0.297690;198;1442;283;1829
3;4;seeding;0.815015;2263;227;2417;1207
3;4;flower;0.904203;2293;239;2406;423
3;4;root;0.847746;2264;628;2369;1201
3;4;stem;0.544380;2331;422;2353;637
3;4;stem;0.513708;2329;420;2353;758
3;5;seeding;0.799624;467;294;604;1133
3;5;flower;0.948090;468;313;580;450
3;5;root;0.431108;546;910;570;1126
3;6;seeding;0.776499;27;168;176;1152
3;6;root;0.874069;70;694;176;1109
3;6;flower;0.873213;27;174;106;338
3;6;stem;0.809619;58;337;111;698
3;7;seeding;0.771182;605;1444;737;2137
3;7;stem;0.691372;645;1759;665;2103
3;7;stem;0.663927;625;1453;737;1766
3;8;seeding;0.760665;2504;392;2648;1224
3;8;stem;0.746629;2514;416;2598;782
3;8;stem;0.581458;2574;779;2607;1206
3;8;root;0.293750;2577;781;2607;1208
3;9;seeding;0.755476;438;1413;592;2177
3;9;flower;0.639129;438;1433;543;1564
3;9;stem;0.595494;527;1564;551;1776
3;9;stem;0.555153;500;1704;560;2166
3;9;stem;0.319816;475;1689;560;2166
3;10;seeding;0.747546;1265;251;1423;1230
3;10;flower;0.917172;1275;261;1409;401
3;10;stem;0.744676;1312;645;1348;1223
3;10;stem;0.707309;1329;404;1346;644
3;10;root;0.373894;1316;645;1349;1225
3;11;seeding;0.739502;2929;288;3108;1341
3;11;stem;0.715345;3020;631;3073;1314
3;12;seeding;0.724181;1875;294;2034;1504
3;12;root;0.930094;1902;845;1996;1492
3;12;flower;0.879554;1900;321;1997;480
3;12;root;0.445104;1952;638;1973;841
3;12;stem;0.288316;1948;479;1972;858
3;13;seeding;0.723920;361;171;505;1239
3;13;flower;0.918810;384;192;504;336
3;13;stem;0.616231;437;336;455;600
3;13;root;0.270205;424;634;481;1129
3;14;seeding;0.715280;1721;166;1875;1074
3;14;stem;0.869564;1779;344;1820;629
3;14;flower;0.861387;1721;171;1811;344
3;14;root;0.435668;1811;619;1861;1069
3;15;seeding;0.712636;1024;299;1208;1184
3;15;stem;0.514077;1036;631;1100;1148
3;15;flower;0.412390;1037;301;1207;624
