epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.1536,1.11933,2.69993,1.10901,1,0.22111,0.91268,0.73007,0.6887,2.08544,0.98362,0.00026672,0.00026672,0.00026672
2,22.8723,1.0054,2.38681,1.10207,1,0.352,0.94926,0.7588,0.7094,1.97888,0.98972,0.000543302,0.000543302,0.000543302
3,30.2771,1.05768,2.09214,1.0781,1,0.72943,0.91398,0.71052,0.82668,1.68884,1.04176,0.000812871,0.000812871,0.000812871
4,39.5763,0.93966,1.82108,1.07813,0.86568,0.79187,0.90826,0.69878,0.88894,1.40916,1.07635,0.00107543,0.00107543,0.00107543
5,46.2171,1.11196,1.69717,1.14761,0.79248,0.90779,0.91251,0.69447,0.8907,1.12543,1.10549,0.00133097,0.00133097,0.00133097
6,51.4641,1.11464,1.61247,1.18752,0.80955,0.94737,0.91579,0.71103,0.85907,1.09742,1.08509,0.00156385,0.00156385,0.00156385
7,56.6762,1.05021,1.62825,1.11131,0.86081,0.98539,0.92701,0.7034,0.89624,1.00104,1.11884,0.00154323,0.00154323,0.00154323
8,61.978,1.12543,1.41929,1.11855,0.86081,0.98539,0.92701,0.7034,0.89624,1.00104,1.11884,0.0015226,0.0015226,0.0015226
9,67.0469,1.12235,1.41167,1.10355,0.87894,0.96053,0.95606,0.66631,1.01433,1.0492,1.1603,0.00150197,0.00150197,0.00150197
10,72.2238,1.18513,1.34445,1.17416,0.88741,0.8836,0.95246,0.68055,0.97562,1.07868,1.13957,0.00148134,0.00148134,0.00148134
11,77.7864,1.07803,1.25636,1.11543,0.95284,0.90218,0.9675,0.7419,0.89001,0.95042,1.09379,0.00146071,0.00146071,0.00146071
12,83.0607,1.14735,1.29463,1.1824,0.92734,0.94321,0.95934,0.75124,0.87047,1.06056,1.06771,0.00144008,0.00144008,0.00144008
13,87.8002,1.17622,1.26873,1.12688,0.85614,0.94737,0.94387,0.71449,0.8918,1.29497,1.0796,0.00141945,0.00141945,0.00141945
14,92.3764,1.08472,1.1804,1.10013,0.85614,0.94737,0.94387,0.71449,0.8918,1.29497,1.0796,0.00139882,0.00139882,0.00139882
15,98.0827,1.15136,1.25818,1.15262,0.92902,0.95598,0.97178,0.73127,0.90365,1.12855,1.12452,0.00137819,0.00137819,0.00137819
16,103.75,1.06859,1.17804,1.14318,0.92663,0.8448,0.94592,0.71159,0.92832,1.04014,1.17787,0.00135756,0.00135756,0.00135756
17,109.308,1.04909,1.17832,1.07799,0.93048,0.91467,0.95341,0.7126,0.90923,1.03226,1.15959,0.00133693,0.00133693,0.00133693
18,116.136,0.98452,1.15899,1.10525,0.95558,0.93082,0.97673,0.73379,0.87426,0.95179,1.10632,0.0013163,0.0013163,0.0013163
19,122.501,1.09682,1.21389,1.14614,0.95558,0.93082,0.97673,0.73379,0.87426,0.95179,1.10632,0.00129568,0.00129568,0.00129568
20,128.735,1.0491,1.09508,1.11631,0.96315,0.93455,0.97975,0.71459,0.95645,0.99212,1.15439,0.00127505,0.00127505,0.00127505
21,134.069,1.03489,1.07187,1.07584,0.88599,0.96086,0.97714,0.71119,0.94081,0.92622,1.13946,0.00125442,0.00125442,0.00125442
22,139.628,1.04699,1.04287,1.08138,0.95306,0.93293,0.98556,0.73222,0.93205,0.89673,1.1408,0.00123379,0.00123379,0.00123379
23,144.358,1.04544,1.05457,1.10214,0.94195,0.97368,0.9867,0.75847,0.82679,0.79133,1.07475,0.00121316,0.00121316,0.00121316
24,148.984,1.04396,1.06414,1.09814,0.94195,0.97368,0.9867,0.75847,0.82679,0.79133,1.07475,0.00119253,0.00119253,0.00119253
25,153.682,0.99757,0.98453,1.07609,0.93959,0.97368,0.9874,0.77871,0.77454,0.75001,1.04338,0.0011719,0.0011719,0.0011719
26,158.155,0.97761,0.99602,1.08579,0.93937,0.98285,0.98636,0.79126,0.76739,0.74484,1.03909,0.00115127,0.00115127,0.00115127
27,162.587,1.04011,1.00911,1.1113,0.97948,0.95295,0.98838,0.79136,0.76199,0.73779,1.04628,0.00113064,0.00113064,0.00113064
28,167.259,0.9749,1.02798,1.0796,0.97665,0.95497,0.98691,0.77961,0.77334,0.73654,1.04621,0.00111001,0.00111001,0.00111001
29,171.893,0.9823,0.96189,1.05455,0.97665,0.95497,0.98691,0.77961,0.77334,0.73654,1.04621,0.00108938,0.00108938,0.00108938
30,176.517,0.97992,0.94019,1.06012,0.9818,0.95917,0.98095,0.77466,0.78048,0.73294,1.04613,0.00106876,0.00106876,0.00106876
31,181.266,1.00032,1.00053,1.0788,0.95702,0.97368,0.96945,0.75659,0.82179,0.7579,1.05165,0.00104813,0.00104813,0.00104813
32,186.07,0.94342,0.94605,1.06272,0.95657,0.97368,0.98591,0.76291,0.8248,0.70647,1.06234,0.0010275,0.0010275,0.0010275
33,190.743,0.92723,0.89703,1.01012,0.97754,0.97368,0.9889,0.76275,0.83117,0.71439,1.06808,0.00100687,0.00100687,0.00100687
34,195.591,0.98632,0.94568,1.07429,0.96094,0.97368,0.99126,0.78348,0.79639,0.7074,1.05491,0.000986239,0.000986239,0.000986239
35,200.139,0.94061,0.89835,1.06012,0.96094,0.97368,0.99126,0.78348,0.79639,0.7074,1.05491,0.00096561,0.00096561,0.00096561
36,205.272,0.96546,0.95721,1.06332,0.95193,0.99489,0.99185,0.79163,0.78785,0.68672,1.04652,0.000944981,0.000944981,0.000944981
