epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.8859,1.21713,1.83961,1.89612,1.41524,0.82605,0.76535,0.83328,0.55107,0.21544,0.20905,0.17476,0.07977,1.11534,9.89799,1.06913,1.31511,0.0671654,6.58009e-05,6.58009e-05
2,97.0525,0.94262,1.30321,0.84596,1.16724,0.85218,0.88134,0.88191,0.586,0.84714,0.85349,0.85467,0.45028,0.99421,1.39667,0.91851,1.17644,0.0338987,0.000132435,0.000132435
3,153.053,0.86095,1.19834,0.73256,1.11107,0.8245,0.8703,0.87891,0.58766,0.85931,0.78431,0.81507,0.41327,1.01856,1.2594,0.86174,1.2604,0.000631838,0.000198938,0.000198938
4,189.264,0.80212,1.15692,0.66382,1.07845,0.85896,0.8869,0.90968,0.62518,0.81859,0.7592,0.77492,0.40083,0.97263,1.26775,0.77443,1.22963,0.000199556,0.000199556,0.000199556
5,247.492,0.78376,1.11033,0.62787,1.03384,0.88567,0.81985,0.8952,0.63863,0.86949,0.7908,0.83486,0.44427,0.95689,1.20034,0.70909,1.20373,0.000199212,0.000199212,0.000199212
6,388.756,0.72828,1.09309,0.58802,0.99985,0.89307,0.87737,0.91548,0.65509,0.86772,0.84788,0.86157,0.45619,0.92922,1.12984,0.71487,1.19554,0.000198769,0.000198769,0.000198769
7,538.632,0.71796,1.04714,0.5638,0.99372,0.92047,0.86156,0.91321,0.64932,0.81434,0.87247,0.86231,0.44581,0.95469,1.20838,0.71759,1.22509,0.00019823,0.00019823,0.00019823
8,631.338,0.68835,1.01011,0.55941,0.97475,0.89119,0.89936,0.91495,0.65726,0.8366,0.84243,0.82352,0.43732,0.91375,1.14399,0.66915,1.18944,0.000197593,0.000197593,0.000197593
9,689.424,0.65612,0.98976,0.52173,0.95562,0.88191,0.87886,0.91643,0.65225,0.80669,0.81529,0.8186,0.45663,0.90796,1.17843,0.65676,1.22209,0.00019686,0.00019686,0.00019686
10,787.692,0.64262,0.95808,0.50374,0.94083,0.85949,0.90117,0.92153,0.6534,0.8531,0.79582,0.82677,0.44451,0.96324,1.12006,0.73312,1.21755,0.000196031,0.000196031,0.000196031
11,987.208,0.62483,0.96306,0.4973,0.94051,0.92631,0.88001,0.91851,0.64873,0.86283,0.80957,0.83205,0.44411,0.90771,1.11099,0.6889,1.21744,0.000195108,0.000195108,0.000195108
12,1117.67,0.60227,0.93496,0.48516,0.93473,0.88595,0.89993,0.92213,0.65696,0.77996,0.7962,0.7786,0.41383,0.94213,1.1694,0.70811,1.22755,0.000194091,0.000194091,0.000194091
13,1162.25,0.58635,0.9247,0.46029,0.92113,0.91587,0.88412,0.90938,0.65958,0.85951,0.81404,0.8231,0.44337,0.94185,1.11035,0.71282,1.25448,0.000192981,0.000192981,0.000192981
14,1217.11,0.59447,0.90177,0.46271,0.91432,0.86683,0.89866,0.91082,0.64367,0.87469,0.86179,0.88577,0.46897,0.92437,1.1575,0.67537,1.22312,0.00019178,0.00019178,0.00019178
15,1273.08,0.56589,0.86706,0.45134,0.91103,0.87086,0.86548,0.90238,0.66718,0.81144,0.85357,0.83589,0.47337,0.89632,1.15618,0.67957,1.21908,0.000190487,0.000190487,0.000190487
